name,is_business,license_number,type,company,city,state,zip,county,licensed_since,expires,disciplined
"Premier Realtors, Llc",True,481013788,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,"Premier Realtors, Llc",Mattoon,IL,61938,Coles,03/21/2022,10/31/2026,N
Lincoln Luxury Homes,True,481013792,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Lincoln Luxury Homes,Lake Forest,IL,60045,Lake,03/23/2022,10/31/2026,N
Duffield Brashers Real Estate & Management Llc,True,481013814,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Duffield Brashers Real Estate & Management Llc,Peoria,IL,61602,Peoria,05/06/2022,10/31/2026,N
"Baan Properties, Llc",True,481013832,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Baan Property Group,Chicago,IL,60647,Cook,06/07/2022,10/31/2026,N
312 Space Llc,True,481013848,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,312 Space Llc,Chicago,IL,60611,Cook,07/21/2022,10/31/2026,N
Just Wright Realty Llc,True,481013873,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Just Wright Realty Llc,Fairview Heights,IL,62208,Saint Clair,09/07/2022,10/31/2026,N
Portal Properties Llc,True,481013885,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Portal Properties,La Grange,IL,60526,,09/29/2022,10/31/2026,N
Geody Llc,True,481013891,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Re License Hold,Rockford,IL,61107,Winnebago,10/13/2022,10/31/2026,N
"Five Star Property Services, Llc",True,481013893,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Five Star Real Estate Services,Springfield,IL,62701,Sangamon,10/17/2022,10/31/2026,N
Axis 360 Llc,True,481013894,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Axis 360 Llc,Bloomington,IL,61704,Mclean,10/18/2022,10/31/2026,N
Live By Design Real Estate Llc,True,481013904,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Live By Design Real Estate Llc,Peoria,IL,61614,Peoria,11/01/2022,10/31/2026,N
Raf Partners Llc,True,481013917,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Raf Partners Llc,Elmhurst,IL,60126,Dupage,12/01/2022,10/31/2026,N
First Street Retail Partners,True,481013923,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,First Street Retail Partners,Northbrook,IL,60062,Cook,12/12/2022,10/31/2026,N
Virtue Realty,True,481013931,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Virtue Realty,Chicago,IL,60607,Cook,12/21/2022,10/31/2026,N
Raimbault Realty Llc,True,481013944,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Raimbault Realty Llc,Orland Park,IL,60462,Cook,01/23/2023,10/31/2026,N
"Lombardo Holdings, Llc",True,481013951,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,"Lombardo Holdings, Llc",Chicago,IL,60622,Cook,02/08/2023,10/31/2026,N
"Sobiko Brokerage Services, Llc",True,481013963,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Team Sobiko,Chicago,IL,60640,Cook,02/23/2023,10/31/2026,N
Sds Services Llc,True,481013965,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Condo Deconversion Consultants,Chicago,IL,60614,Cook,02/23/2023,10/31/2026,N
Concierge Property Management Llc,True,481013981,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Concierge Property Management Llc,Lake Villa,IL,60046,Lake,03/21/2023,10/31/2026,N
"Agland 360, Llc",True,481013984,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,"Agland 360, Llc",Edinburg,IL,62531,Christian,03/30/2023,10/31/2026,N
Dg Associates And Realty Llc,True,481013985,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Dg Associates And Realty Llc,Oak Forest,IL,60452,Cook,03/31/2023,10/31/2026,N
"My Path Properties, Llc",True,481013994,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,"My Path Properties, Llc",West Chicago,IL,60185,Dupage,04/10/2023,10/31/2026,N
Mission Realty Pllc,True,481013998,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Mission Realty Pllc,Frankfort,IL,60423,Will,04/19/2023,10/31/2026,N
"Forza Property Management Services, Llc",True,481014000,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Forza Advantage Realty,Batavia,IL,60510,Adams,04/21/2023,10/31/2026,N
Mango Realty Group Llc,True,481014004,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Mango Realty Group Llc,Chicago,IL,60608,Cook,04/25/2023,10/31/2026,N
"Beringer Realty, Llc",True,481014008,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,"Beringer Realty, Llc",Urbana,IL,61801,Champaign,04/28/2023,10/31/2026,N
